SOICEITY,TRUST,SURVEYEAR
4,2,2024
4,4,2024
4,4,2024
4,2,2024
4,5,2024
2,2,2024
5,1,2024
1,1,2024
1,1,2024
4,3,2024
1,1,2024
5,3,2024
4,,2024
3,4,2024
4,3,2024
2,4,2024
5,3,2024
3,1,2024
3,2,2024
4,2,2024
2,4,2024
4,2,2024
3,3,2024
2,2,2024
2,5,2024
3,3,2024
3,5,2024
3,3,2024
5,3,2024
3,4,2024
3,4,2024
3,4,2024
4,3,2024
4,4,2024
3,3,2024
4,4,2024
5,4,2024
4,4,2024
3,4,2024
3,3,2024
4,2,2024
3,3,2024
2,2,2024
3,1,2024
4,5,2024
2,4,2024
4,2,2024
3,3,2024
4,3,2024
4,5,2024
4,2,2024
3,2,2024
4,5,2024
4,4,2024
3,3,2024
2,3,2024
4,4,2024
4,4,2024
3,2,2024
2,3,2024
5,4,2024
3,4,2024
2,4,2024
3,4,2024
4,3,2024
4,4,2024
5,3,2024
3,3,2024
3,3,2024
5,3,2024
4,4,2024
3,2,2024
1,4,2024
2,4,2024
3,3,2024
3,2,2024
3,4,2024
4,3,2024
4,4,2024
4,4,2024
4,4,2024
4,4,2024
4,4,2024
4,4,2024
4,4,2024
4,4,2024
3,3,2024
3,1,2024
1,3,2024
4,3,2024
3,3,2024
4,4,2024
2,1,2024
3,2,2024
4,5,2024
2,1,2024
